Car_ID,Brand,Model,Type_car,Age (Years),Weight (kg),Height (cm),Price_THB,Primary_Region,Top_Speed (kmh),cluster
CAR_1,Toyota,Corolla,Sedan,11,1202,143,2014414,Japan,208,2
CAR_2,Toyota,Camry,Sedan,10,1171,152,1703462,Japan,200,2
CAR_3,Toyota,RAV4,SUV,8,2266,187,2136074,Japan,180,1
CAR_4,Honda,Civic,Sedan,3,1472,143,878167,Japan,219,2
CAR_5,Honda,CR-V,SUV,12,2461,185,2370455,Japan,171,1
CAR_6,Honda,HR-V,Crossover,12,1513,145,1391743,Japan,181,2
CAR_7,Nissan,Almera,Sedan,6,1376,140,1996025,Japan,191,2
CAR_8,Nissan,Kicks,Crossover,11,1352,151,1517040,Japan,204,2
CAR_9,Mazda,Mazda 3,Sedan,12,1158,154,1798079,Japan,221,2
CAR_10,Mazda,CX-5,SUV,14,2499,180,1065725,Japan,184,1
CAR_11,Isuzu,D-Max,Pickup,8,2109,178,3978370,Japan,217,0
CAR_12,Ford,Ranger,Pickup,10,2303,172,3937332,USA,182,1
CAR_13,Ford,Everest,SUV,3,1960,188,3825852,USA,177,0
CAR_14,Ford,Mustang,Sports Car,12,1530,131,24844391,USA,298,3
CAR_15,BMW,Series 3,Sedan,6,1121,153,1533036,Germany,207,2
CAR_16,BMW,Series 5,Sedan,2,1188,141,1234909,Germany,195,2
CAR_17,BMW,X3,SUV,8,1930,174,3835702,Germany,175,1
CAR_18,Mercedes-Benz,C-Class,Sedan,12,1496,151,1282133,Germany,181,2
CAR_19,Mercedes-Benz,E-Class,Sedan,1,1622,147,1577903,Germany,224,2
CAR_20,Mercedes-Benz,GLC,SUV,12,2285,188,2724492,Germany,188,1
CAR_21,Audi,A4,Sedan,5,1157,143,1551672,Germany,187,2
CAR_22,Audi,Q5,SUV,4,2280,172,1121118,Germany,191,0
CAR_23,Porsche,911,Sports Car,8,1503,130,15456455,Germany,256,3
CAR_24,Porsche,Cayenne,SUV,1,2238,187,3145455,Germany,212,0
CAR_25,Tesla,Model 3,EV Sedan,4,1230,147,1032398,USA,201,2
CAR_26,Tesla,Model Y,EV SUV,2,1252,152,1925180,USA,223,2
CAR_27,Hyundai,Ioniq 5,EV Crossover,12,1493,141,1804928,South Korea,208,2
CAR_28,Kia,EV6,EV Crossover,6,1541,141,749718,South Korea,189,2
CAR_29,BYD,Atto 3,EV SUV,13,2439,183,1651870,China,195,1
CAR_30,BYD,Dolphin,EV Hatchback,5,1184,142,1663459,China,192,2
CAR_31,BYD,Seal,EV Sedan,10,1314,147,1409241,China,203,2
CAR_32,MG,ZS,SUV,3,1949,165,2296065,China,192,0
CAR_33,MG,MG4,EV Hatchback,7,1260,154,1276228,China,227,2
CAR_34,Volvo,XC60,SUV,11,2187,175,3486339,Sweden,179,1
CAR_35,Volvo,XC90,SUV,11,2138,183,4055272,Sweden,171,1
CAR_36,Subaru,Forester,SUV,4,1970,183,2772591,Japan,206,0
CAR_37,Subaru,BRZ,Sports Car,8,1681,130,22953282,Japan,241,3
CAR_38,Lexus,ES,Sedan,8,1399,141,1782298,Japan,202,2
CAR_39,Lexus,RX,SUV,3,2353,171,4071383,Japan,211,0
CAR_40,Suzuki,Swift,Hatchback,1,1232,154,1386762,Japan,219,2
CAR_41,Suzuki,Jimny,Off-road SUV,6,1921,171,1183188,Japan,182,0
CAR_42,Chevrolet,Corvette,Sports Car,4,1529,126,14915632,USA,288,3
CAR_43,Ferrari,Roma,Supercar,11,1535,130,12766326,Italy,264,3
CAR_44,Lamborghini,Urus,Supercar SUV,13,2002,176,3469036,Italy,305,0
CAR_45,Volkswagen,Golf,Hatchback,2,1121,141,1894371,Germany,191,2
CAR_46,Volkswagen,Tiguan,SUV,1,2289,183,1652750,Germany,204,0
CAR_47,Mini,Cooper,Hatchback,12,1217,140,897850,UK,191,2
CAR_48,Land Rover,Defender,Off-road SUV,12,2166,177,1529433,UK,180,1
CAR_49,GWM,Haval H6,SUV,14,2491,188,3826233,China,194,1
